"Row.names","Date","EP.experimentator...Imaging.acquisition","Condition","ID.embryo","Cell.Segmentation","Threshold.nuclei","Threshold.membrane","Surface.Segmentation","Threshold.surface","Merged.cells.to.get.new.surface.information.from.cell.segmentation","Shortest.distance.between.ATM.group.to.TVC.group..from.edge.to.edge..µm","Comment.on.the.distance","Comment.on.the.embryo","Comment.detailed","Details.phenotype","Quality.of.segmentation.based.on.labelling..good..correct..not.good.","Comments","Name","Phenotype","migration.perturbed","division.perturbed","orientation.perturbed"
"ADF.Cofilin.slide1_image17_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image17_left","yes",77.6,17.5,"-","-","yes","53.3","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image17_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image17_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image17_right","yes",81.4,26.3,"-","-","yes","37.4","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image17_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image18_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image18_left","yes",82.8,13.4,"-","-","yes","36.9","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate; stayed in the tail and didn't divide","not good","","ADF.Cofilin.slide1_image18_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image18_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image18_right","yes",82.8,19.4,"-","-","yes","52.3","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image18_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image19_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image19_left","yes",68.4,11.1,"-","-","yes","38.3","-","look like WT","look like WT","all look like WT","not good","ambiguous left-right phenotype","ADF.Cofilin.slide1_image19_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image19_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image19_right","yes",90,16,"-","-","yes","28.2","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are not correctly placed in the trunk; and the 2 ATM are separated","not good","ambiguous left-right phenotype","ADF.Cofilin.slide1_image19_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image2_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image2_left","yes",95.7,29.7,"-","-","yes","37","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated in the trunk with the TVCs; and one of the TVC didn't divide in the trunk","correct","","ADF.Cofilin.slide1_image2_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image2_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image2_right","yes",60.8,29.7,"-","-","yes","15.7","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided in the trunk with the TVCs","good","","ADF.Cofilin.slide1_image2_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image20_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image20_left","yes",77.6,25.6,"-","-","yes","27.9","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image20_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image20_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image20_right","yes",108,25.6,"-","-","yes","43.1","-","problem migration and division","enhanced ATM division / inhibited TVC migration","one of the ATM divided in the tail: and one of the TVC didn't migrate, stayed in the tail and divided","correct","","ADF.Cofilin.slide1_image20_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image21.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image21","yes",104,26.8,"-","-","yes","34.4","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate, it stayed in the tail and didn't divide","good","","ADF.Cofilin.slide1_image21.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image23_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image23_left","yes",89.9,42.3,"-","-","yes","32.8","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image23_left.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image24.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image24","yes",97.5,28.2,"-","-","yes","17.3","-","problem migration","enhanced ATM migration","one of the ATM migrated in the trunk with the TVCs","good","","ADF.Cofilin.slide1_image24.2019_08_29","migration perturbed",TRUE,FALSE,FALSE
"ADF.Cofilin.slide1_image25_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image25_left","yes",100,32.2,"-","-","yes","31.4","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image25_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image25_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image25_right","yes",100,16.6,"-","-","yes","33.9","-","problem division","inhibited TVC division","one of the TVC didn't divide in the trunk","good","","ADF.Cofilin.slide1_image25_right.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image26_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image26_left","yes",110,21.3,"-","-","yes","23.7","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided with the TVCs in the trunk","correct","","ADF.Cofilin.slide1_image26_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image27.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image27","yes",113,36.9,"-","-","yes","26.9","-","problem division","inhibited TVC division","one of the TVC didn't divide in the trunk","good","","ADF.Cofilin.slide1_image27.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image28_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image28_left","yes",90.8,20.2,"-","-","yes","31.6","-","problem division","inhibited TVC division","one of the TVC didn't divide in the trunk","not good","","ADF.Cofilin.slide1_image28_left.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image28_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image28_right","yes",42.5,19.2,"-","-","yes","24.5","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image28_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image29.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image29","yes",94,25.7,"-","-","yes","27.1","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate, it stayed in the tail and didn't divide","correct","","ADF.Cofilin.slide1_image29.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image3.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image3","yes",150,32.3,"-","-","yes","19.2","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated a bit in the trunk; and one of the TVC didn't divide in the trunk","good","","ADF.Cofilin.slide1_image3.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image30.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image30","yes",120,30,"-","-","yes","21.1","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate, it stayed in the tail and didn't divide; and the TVC that migrated didn't divide in the trunk","good","","ADF.Cofilin.slide1_image30.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image31.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image31","yes",85.5,31.4,"-","-","yes","16.6","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided with the TVCs in the trunk","not good","","ADF.Cofilin.slide1_image31.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image32.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image32","yes",100,39.3,"-","-","yes","4.06","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated with the TVCs in the trunk but not completely so it is not attached to the TVCs neither to the other ATM; and the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image32.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image34.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image34","yes",103,42.9,"-","-","yes","40.2","-","problem division","inhibited TVC division","one of the TVC didn't divide in the trunk","good","","ADF.Cofilin.slide1_image34.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image35.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image35","yes",125,28.6,"-","-","yes","28.8","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","correct","","ADF.Cofilin.slide1_image35.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image36.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image36","yes",98.9,29.5,"-","-","yes","39.1","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate and didn't divide in the tail; the other TVC that migrated didn't divide in the trunk","good","","ADF.Cofilin.slide1_image36.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image37.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image37","yes",101,28.1,"-","-","yes","31","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image37.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image38.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image38","yes",103,23,"-","-","yes","0","groups connected","problem migration and disposition TVC","enhanced ATM migration / problem disposition TVC","one of the ATM migrated in the trunk with the TVC, but still connected to the other ATM in the tail; one TVC is separated from the other TVCs by the ATM","good","","ADF.Cofilin.slide1_image38.2019_08_29","migration perturbed",TRUE,FALSE,FALSE
"ADF.Cofilin.slide1_image39_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image39_left","yes",92.8,26.9,"-","-","yes","36.2","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated with the TVCs in the trunk; and one of the TVC didn't divide in the trunk","correct","","ADF.Cofilin.slide1_image39_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image39_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image39_right","yes",45.4,25.9,"-","-","yes","16","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided in the trunk with the TVCs","correct","","ADF.Cofilin.slide1_image39_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image4_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image4_left","yes",117,30.2,"-","-","yes","-","no distance - only one group in the trunk","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated in the trunk with the TVCs; and the 2 TVCs didn't divide","good","","ADF.Cofilin.slide1_image4_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image4_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image4_right","yes",92.3,25.2,"-","-","yes","33","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image4_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image40_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image40_left","yes",71.8,22.6,"-","-","yes","23.2","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image40_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image40_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image40_right","yes",79.9,22.6,"-","-","yes","30.8","-","look like WT","look like WT","all look like WT","not good","","ADF.Cofilin.slide1_image40_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image41.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image41","yes",103,24.3,"-","-","yes","18.8","-","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATM migrated a bit in the trunk; one of the TVC didn't divide in the trunk","good","","ADF.Cofilin.slide1_image41.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image43.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image43","yes",98.2,35.5,"-","-","yes","25.9","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are separated in the trunk","good","","ADF.Cofilin.slide1_image43.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image44.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image44","yes",95.7,30.1,"-","-","yes","6.94","-","problem migration and division","enhanced ATM migration / inhibited TVC division","the ATMs migrated a bit in the trunk; one of the TVC didn't divide","correct","","ADF.Cofilin.slide1_image44.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image45_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image45_left","yes",118,25.8,"-","-","yes","-","no distance - only one group in the trunk","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated with the TVCs in the trunk; the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image45_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image45_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image45_right","yes",100,20.8,"-","-","yes","32.8","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image45_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image46.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image46","yes",94.9,29.5,"-","-","yes","26.5","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image46.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image47.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image47","yes",95.1,28.5,"-","-","yes","2.34","-","problem migration and division","enhanced ATM migration / enhanced ATM division","the 2 ATMs migrated a bit in the trunk and one of the ATM divided","correct","","ADF.Cofilin.slide1_image47.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image48.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image48","yes",87,25.7,"-","-","yes","22.2","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image48.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image49.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image49","yes",102,20.5,"-","-","yes","13.1","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are separated in the trunk","good","","ADF.Cofilin.slide1_image49.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image5_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image5_right","yes",110,34.4,"-","-","yes","7.23","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated a bit in the trunk; and one of the TVC didn't divide in the trunk","good","","ADF.Cofilin.slide1_image5_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image50.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image50","yes",108,27,"-","-","yes","0","groups connected","problem migration and division","inhibited TVC migration / inhibited TVC division","the TVCs didn't migrate completely, they are still attached to the ATMs, and the 2 TVCs didn't divide","good","","ADF.Cofilin.slide1_image50.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image51.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image51","yes",116,26.4,"-","-","yes","29.4","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image51.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image52_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image52_left","yes",113,25,"-","-","yes","25.8","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image52_left.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image52_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image52_right","yes",113,19.7,"-","-","yes","24.1","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image52_right.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image53_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image53_right","yes",100,15.5,"-","-","yes","0","groups connected","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided in the trunk with the TVCs, but it is still attached to the other ATM too","good","","ADF.Cofilin.slide1_image53_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image6.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image6","yes",100,43.7,"-","-","yes","26","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image6.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image7.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image7","yes",93.6,35.9,"-","-","yes","25.8","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are separated in the trunk","good","","ADF.Cofilin.slide1_image7.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image9.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image9","yes",92.9,27.4,"-","-","yes","22.4","-","problem division","inhibited TVC division","the  2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image9.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image1_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image1_left","yes",100,33.8,"-","-","yes","18","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided with the TVCs in the trunk","good","ambiguous phenotype between left and right","ADF.Cofilin.slide2_image1_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image1_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image1_right","yes",115,33.8,"-","-","yes","28","-","problem migration and division","enhanced ATM migration / inhibited TVC division","one of the ATM migrated with the TVCs in the trunk; and the 2 TVCs didn't divide in the trunk","good","ambiguous phenotype between left and right","ADF.Cofilin.slide2_image1_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image10.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image10","yes",105,43.4,"-","-","yes","37.3","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide2_image10.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image11_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image11_left","yes",79.5,22.6,"-","-","yes","35.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","not good","","ADF.Cofilin.slide2_image11_left.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"ADF.Cofilin.slide2_image11_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image11_right","yes",79.5,22.6,"-","-","yes","32.2","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide2_image11_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image13_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image13_left","yes",130,43,"-","-","yes","41.3","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide2_image13_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image13_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image13_right","yes",130,33.1,"-","-","yes","12.1","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided in the trunk with the TVCs","not good","","ADF.Cofilin.slide2_image13_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image14_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image14_left","yes",91,27.6,"-","-","yes","22.5","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide2_image14_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image14_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image14_right","yes",110,39.8,"-","-","yes","35.2","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide2_image14_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide2_image15.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image15","yes",90,22.4,"-","-","yes","10.3","-","problem migration and division","enhanced ATM division / inhibited TVC division","one of the ATM divided in the tail; and one of the TVC didn't divide in the trunk","good","","ADF.Cofilin.slide2_image15.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image16.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image16","yes",115,23.5,"-","-","yes","31.6","-","problem division","inhibited TVC division","the 2 ATMs are separated; and one of the TVC didn't divide in the trunk","good","","ADF.Cofilin.slide2_image16.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide2_image17_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image17_left","yes",48.9,20.9,"-","-","yes","7.15","-","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated a bit in the trunk and the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide2_image17_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image17_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image17_right","yes",64.7,32.9,"-","-","yes","12.3","-","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated a bit in the trunk and the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide2_image17_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide2_image18.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide2_image18","yes",120,39.2,"-","-","yes","19.8","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide2_image18.2019_08_29","division perturbed",FALSE,TRUE,FALSE
